时间,压力(N),传感器#8,传感器#9,传感器#10,传感器#24,传感器#25,传感器#26,传感器#232,传感器#233,传感器#234,传感器#248,传感器#249,传感器#250
08h.46m.16s.464ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.475ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.485ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.494ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.505ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.514ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.524ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.535ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.544ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.555ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.565ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.574ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.585ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.595ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.606ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.615ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.625ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.634ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.645ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.655ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.666ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.674ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.685ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.694ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.704ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.714ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.725ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.734ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.744ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.754ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.764ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.774ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.784ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.794ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.805ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.814ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.16s.825ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
